	symbol	baseMean	HD.mean	Control.mean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000069011.10	PITX1	5.64567486880873	18.6842855470464	0.323792959323957	4.76965758490899	0.366367203107348	13.0187897400615	9.56752883145208e-39	2.68723182288995e-34
ENSG00000170689.8	HOXB9	2.54284149543828	8.72328051118439	0.0202133257459933	4.76079002530221	0.456017079735048	10.4399379691399	1.62917128807974e-25	2.28792669841479e-21
ENSG00000180818.4	HOXC10	2.80111736275207	9.51508786200599	0.0607212406076118	4.57397643425006	0.450076945706901	10.1626543591698	2.91042999969118e-24	2.7248415800442e-20
ENSG00000005073.5	HOXA11	1.96812081548761	6.79001681343225	0	4.70400455073532	0.464198761544623	10.1335999585237	3.91947823574739e-24	2.75215963018592e-20
ENSG00000253293.3	HOXA10	3.4909510377901	11.3992426308413	0.263076918177381	4.27331061215555	0.424645743117774	10.0632366658868	8.03136006429936e-24	4.51153620251952e-20
ENSG00000128710.5	HOXD10	2.5712282062645	8.77158407415122	0.0404707091678842	4.60245078231639	0.459700693607531	10.0118421536377	1.3521102780292e-23	6.32945356316769e-20
ENSG00000151615.3	POU4F2	3.27509476377613	10.6547487918448	0.262991078850138	3.96223486620926	0.399432323673614	9.91966506307814	3.4190154684398e-23	1.37185553517241e-19
ENSG00000106031.6	HOXA13	2.45671413922969	8.02965271950858	0.182045330952584	4.16589885046887	0.422501812544953	9.86007332223132	6.20040964017082e-23	2.17688631954347e-19
ENSG00000128709.10	HOXD9	2.2268685355232	7.18691979816141	0.202357816079031	3.6572882262434	0.414984131016092	8.81307971292419	1.21753910740387e-18	3.79966898996139e-15
ENSG00000175879.7	HOXD8	1.70983750630553	5.60147694114654	0.121413247186746	3.86684021998479	0.441813002884087	8.75221008603788	2.0921445891424e-18	5.87620650752426e-15
ENSG00000106004.4	HOXA5	2.19802511379413	7.08753252026482	0.202307805030581	3.87962436145332	0.447708453949375	8.66551508516302	4.49476181225127e-18	1.10860563891603e-14
ENSG00000152779.12	SLC16A12	55.4220366362276	167.666397884913	9.608011636764	3.51387749073207	0.405780777538506	8.65954644783198	4.73645019652946e-18	1.10860563891603e-14
ENSG00000113196.2	HAND1	1.9393261824308	6.24474511237368	0.182012333474527	3.70329711111459	0.434147071508218	8.53005203570625	1.4628190285594e-17	3.16047677347291e-14
ENSG00000171540.6	OTP	3.20356034384172	9.16907010054499	0.768658402330188	2.99853815985825	0.356332866224706	8.41499183509881	3.92922279199037e-17	7.88286289704526e-14
ENSG00000056736.5	IL17RB	1311.10122180812	2144.33413165404	971.006156564889	1.39275708765738	0.171001042159458	8.14472865234726	3.8013339286969e-16	7.117871070354e-13
ENSG00000163817.11	SLC6A20	173.036577846977	433.282225504074	66.8138645175495	2.35539300093526	0.297614408775379	7.91424383862061	2.48760333867255e-15	4.36683218583099e-12
